samples originSite_finalSite_experiment
abundance_adult_may2018_gm_gm_bck_15873X22_trimmed gm_gm_bck
abundance_adult_may2018_gm_gm_bck_15873X31_trimmed gm_gm_bck
abundance_adult_may2018_gm_gm_bck_15941X16_trimmed gm_gm_bck
abundance_adult_may2018_gm_gm_tro_15873X28_trimmed gm_gm_tro
abundance_adult_may2018_gm_gm_tro_15873X5_trimmed gm_gm_tro
abundance_adult_may2018_gm_gm_tro_15941X17_trimmed gm_gm_tro
abundance_adult_may2018_gm_gm_tro_15941X33_trimmed gm_gm_tro
abundance_adult_may2018_gm_gm_tro_15941X5_trimmed gm_gm_tro
abundance_adult_may2018_sp_gm_trt_15873X27_trimmed sp_gm_trt
abundance_adult_may2018_sp_gm_trt_15873X4_trimmed sp_gm_trt
abundance_adult_may2018_sp_gm_trt_15941X32_trimmed sp_gm_trt
abundance_adult_may2018_sp_gm_trt_15941X4_trimmed sp_gm_trt
abundance_adult_may2018_pv_gm_trt_15873X29_trimmed pv_gm_trt
abundance_adult_may2018_pv_gm_trt_15873X6_trimmed pv_gm_trt
abundance_adult_may2018_pv_gm_trt_15941X18_trimmed pv_gm_trt
abundance_adult_may2018_pv_gm_trt_15941X34_trimmed pv_gm_trt
abundance_adult_may2018_pv_gm_trt_15941X6_trimmed pv_gm_trt
