samples originSite_finalSite_experiment 
abundance_adult_sept2018_gm_gm_bck_15941X28_trimmed gm_gm_bck
abundance_adult_sept2018_gm_gm_bck_15941X46_trimmed gm_gm_bck
abundance_adult_sept2018_gm_gm_bck_15941X54_trimmed gm_gm_bck
abundance_adult_sept2018_gm_gm_gas_15873X11_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15873X16_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15873X38_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X11_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X12_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X26_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X50_trimmed gm_gm_gas
abundance_adult_sept2018_sp_gm_gas_15873X13_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15873X44_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15873X45_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X35_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X36_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X49_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X56_trimmed sp_gm_gas
abundance_adult_sept2018_pv_gm_gas_15873X12_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15873X39_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15873X40_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15941X13_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15941X27_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15941X45_trimmed pv_gm_gas
