samples originSite_finalSite_experiment
abundance_adult_may2018_pv_pv_bck_15873X19_trimmed pv_pv_bck
abundance_adult_may2018_pv_pv_bck_15941X42_trimmed pv_pv_bck
abundance_adult_may2018_pv_pv_bck_15941X52_trimmed pv_pv_bck
abundance_adult_may2018_pv_pv_tro_15873X33_trimmed pv_pv_tro
abundance_adult_may2018_pv_pv_tro_15873X9_trimmed pv_pv_tro
abundance_adult_may2018_pv_pv_tro_15941X21_trimmed pv_pv_tro
abundance_adult_may2018_pv_pv_tro_15941X22_trimmed pv_pv_tro
abundance_adult_may2018_pv_pv_tro_15941X41_trimmed pv_pv_tro
abundance_adult_may2018_pv_pv_tro_15941X8_trimmed pv_pv_tro
abundance_adult_may2018_gm_pv_trt_15873X32_trimmed gm_pv_trt
abundance_adult_may2018_gm_pv_trt_15873X8_trimmed gm_pv_trt
abundance_adult_may2018_gm_pv_trt_15941X20_trimmed gm_pv_trt
abundance_adult_may2018_gm_pv_trt_15941X40_trimmed gm_pv_trt
abundance_adult_may2018_gm_pv_trt_15941X7_trimmed gm_pv_trt
