samples originSite_finalSite_experiment 
abundance_adult_sept2018_pv_pv_bck_15873X21_trimmed pv_pv_bck
abundance_adult_sept2018_pv_pv_bck_15941X47_trimmed pv_pv_bck
abundance_adult_sept2018_pv_pv_bck_15941X55_trimmed pv_pv_bck
abundance_adult_sept2018_pv_pv_gas_15873X14_trimmed pv_pv_gas
abundance_adult_sept2018_pv_pv_gas_15873X47_trimmed pv_pv_gas
abundance_adult_sept2018_pv_pv_gas_15873X48_trimmed pv_pv_gas
abundance_adult_sept2018_pv_pv_gas_15941X15_trimmed pv_pv_gas
abundance_adult_sept2018_pv_pv_gas_15941X37_trimmed pv_pv_gas
abundance_adult_sept2018_pv_pv_gas_15941X58_trimmed pv_pv_gas
abundance_adult_sept2018_pv_gm_gas_15873X12_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15873X39_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15873X40_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15941X13_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15941X27_trimmed pv_gm_gas
abundance_adult_sept2018_pv_gm_gas_15941X45_trimmed pv_gm_gas
