samples originSite_finalSite_experiment 
abundance_adult_sept2018_sp_sp_bck_15873X20_trimmed sp_sp_bck
abundance_adult_sept2018_sp_sp_bck_15941X48_trimmed sp_sp_bck
abundance_adult_sept2018_sp_sp_bck_15941X53_trimmed sp_sp_bck
abundance_adult_sept2018_sp_sp_gas_15873X10_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15873X34_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15873X36_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15941X23_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15941X43_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15941X9_trimmed sp_sp_gas
abundance_adult_sept2018_gm_sp_gas_15873X17_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15873X37_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X10_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X24_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X25_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X44_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X57_trimmed gm_sp_gas 
