samples originSite_finalSite_experiment dataset
abundance_adult_may2018_pv_pv_bck_15873X19_trimmed pv_pv_bck may2018
abundance_adult_may2018_pv_pv_bck_15941X42_trimmed pv_pv_bck may2018
abundance_adult_may2018_pv_pv_bck_15941X52_trimmed pv_pv_bck may2018
abundance_adult_sept2018_pv_pv_bck_15873X21_trimmed pv_pv_bck sept2018
abundance_adult_sept2018_pv_pv_bck_15941X47_trimmed pv_pv_bck sept2018
abundance_adult_sept2018_pv_pv_bck_15941X55_trimmed pv_pv_bck sept2018
abundance_adult_may2018_gm_gm_bck_15873X22_trimmed gm_gm_bck may2018
abundance_adult_may2018_gm_gm_bck_15873X31_trimmed gm_gm_bck may2018
abundance_adult_may2018_gm_gm_bck_15941X16_trimmed gm_gm_bck may2018
abundance_adult_sept2018_gm_gm_bck_15941X28_trimmed gm_gm_bck sept2018 
abundance_adult_sept2018_gm_gm_bck_15941X46_trimmed gm_gm_bck sept2018 
abundance_adult_sept2018_gm_gm_bck_15941X54_trimmed gm_gm_bck sept2018
abundance_adult_may2018_sp_sp_bck_15873X26_trimmed sp_sp_bck may2018
abundance_adult_may2018_sp_sp_bck_15873X43_trimmed sp_sp_bck may2018
abundance_adult_may2018_sp_sp_bck_15941X31_trimmed sp_sp_bck may2018
abundance_adult_sept2018_sp_sp_bck_15873X20_trimmed sp_sp_bck sept2018
abundance_adult_sept2018_sp_sp_bck_15941X48_trimmed sp_sp_bck sept2018
abundance_adult_sept2018_sp_sp_bck_15941X53_trimmed sp_sp_bck sept2018
