dir samples originSite_finalSite_experiment 
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X12_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X39_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X40_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X13_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X27_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X45_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X14_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X47_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X48_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X15_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X37_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X58_trimmed pv_pv_gas
