dir samples originSite_finalSite_experiment 
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15873X11_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15873X16_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15873X38_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X11_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X12_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X26_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X50_trimmed gm_gm_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X15_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X23_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X46_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X49_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X50_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15941X14_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15941X38_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15873X17_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15873X37_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X10_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X24_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X25_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X44_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X57_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X12_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X39_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X40_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X13_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X27_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X45_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X14_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X47_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X48_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X15_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X37_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X58_trimmed pv_pv_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15873X13_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15873X44_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15873X45_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X35_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X36_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X49_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X56_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15873X10_trimmed sp_sp_gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15873X34_trimmed sp_sp_gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15873X36_trimmed sp_sp_gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15941X23_trimmed sp_sp_gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15941X43_trimmed sp_sp_gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15941X9_trimmed sp_sp_gas
