dir samples originSite_finalSite_experiment
5_gardenShort abundance_adult_sept2018_gm_gm_bck_15941X28_trimmed gm_gm_bck
5_gardenShort abundance_adult_sept2018_gm_gm_bck_15941X46_trimmed gm_gm_bck
5_gardenShort abundance_adult_sept2018_gm_gm_bck_15941X54_trimmed gm_gm_bck
5_gardenShort abundance_adult_sept2018_pv_pv_bck_15873X21_trimmed pv_pv_bck
5_gardenShort abundance_adult_sept2018_pv_pv_bck_15941X47_trimmed pv_pv_bck
5_gardenShort abundance_adult_sept2018_pv_pv_bck_15941X55_trimmed pv_pv_bck
5_gardenShort abundance_adult_sept2018_sp_sp_bck_15873X20_trimmed sp_sp_bck
5_gardenShort abundance_adult_sept2018_sp_sp_bck_15941X48_trimmed sp_sp_bck
5_gardenShort abundance_adult_sept2018_sp_sp_bck_15941X53_trimmed sp_sp_bck 
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X15_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X23_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X46_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X49_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15873X50_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15941X14_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_pv_gas_15941X38_trimmed gm_pv_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15873X17_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15873X37_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X10_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X24_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X25_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X44_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_gm_sp_gas_15941X57_trimmed gm_sp_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X12_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X39_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15873X40_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X13_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X27_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_pv_gm_gas_15941X45_trimmed pv_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15873X13_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15873X44_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15873X45_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X35_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X36_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X49_trimmed sp_gm_gas
5_gardenShort abundance_adult_sept2018_sp_gm_gas_15941X56_trimmed sp_gm_gas
