dir samples site experiment 
5_gardenShort abundance_adult_sept2018_gm_gm_bck_15941X28_trimmed gm bck
5_gardenShort abundance_adult_sept2018_gm_gm_bck_15941X46_trimmed gm bck
5_gardenShort abundance_adult_sept2018_gm_gm_bck_15941X54_trimmed gm bck
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15873X11_trimmed gm gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15873X16_trimmed gm gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15873X38_trimmed gm gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X11_trimmed gm gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X12_trimmed gm gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X26_trimmed gm gas
5_gardenShort abundance_adult_sept2018_gm_gm_gas_15941X50_trimmed gm gas
5_gardenShort abundance_adult_sept2018_pv_pv_bck_15873X21_trimmed pv bck
5_gardenShort abundance_adult_sept2018_pv_pv_bck_15941X47_trimmed pv bck
5_gardenShort abundance_adult_sept2018_pv_pv_bck_15941X55_trimmed pv bck
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X14_trimmed pv gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X47_trimmed pv gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15873X48_trimmed pv gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X15_trimmed pv gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X37_trimmed pv gas
5_gardenShort abundance_adult_sept2018_pv_pv_gas_15941X58_trimmed pv gas
5_gardenShort abundance_adult_sept2018_sp_sp_bck_15873X20_trimmed sp bck
5_gardenShort abundance_adult_sept2018_sp_sp_bck_15941X48_trimmed sp bck
5_gardenShort abundance_adult_sept2018_sp_sp_bck_15941X53_trimmed sp bck
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15873X10_trimmed sp gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15873X34_trimmed sp gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15873X36_trimmed sp gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15941X23_trimmed sp gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15941X43_trimmed sp gas
5_gardenShort abundance_adult_sept2018_sp_sp_gas_15941X9_trimmed sp gas
