samples site pH
juvenile_rep1_gm_amb_R1CA1_paired_trimmed GM ambient
juvenile_rep1_sp_amb_R1AA8_paired_trimmed SP ambient
juvenile_rep1_gm_low_R1BA8_paired_trimmed GM low
juvenile_rep1_sp_low_R1DA1_paired_trimmed SP low
juvenile_rep2_gm_amb_R2DA8_paired_trimmed GM ambient
juvenile_rep2_sp_amb_R2BA7_paired_trimmed SP ambient
juvenile_rep2_sp_low_R2CA9_paired_trimmed SP low
juvenile_rep3_gm_amb_R3AA9_paired_trimmed GM ambient
juvenile_rep3_gm_low_R3DA1_paired_trimmed GM low
juvenile_rep3_sp_amb_R3EA10_paired_trimmed SP ambient
juvenile_rep3_sp_low_R3BA6_paired_trimmed SP low
juvenile_rep4_gm_amb_R4BA4_paired_trimmed GM ambient
juvenile_rep4_gm_low_R4EA1_paired_trimmed GM low 
juvenile_rep4_sp_amb_R4AA12_paired_trimmed SP ambient
ajuvenile_rep4_sp_low_R4CA7_paired_trimmed SP low




