samples site_pH
juvenile_rep1_gm_amb_R1CA1_paired_trimmed GM_ambient
juvenile_rep1_gm_ext_R1EA7_paired_trimmed GM_extreme_low
juvenile_rep1_gm_low_R1BA8_paired_trimmed GM_low
juvenile_rep1_sp_amb_R1AA8_paired_trimmed SP_ambient
juvenile_rep1_sp_low_R1DA1_paired_trimmed SP_low
juvenile_rep2_gm_amb_R2DA8_paired_trimmed GM_ambient
juvenile_rep2_gm_ext_R2AA2_paired_trimmed GM_extreme_low
juvenile_rep2_sp_amb_R2BA7_paired_trimmed SP_ambient
juvenile_rep2_sp_low_R2CA9_paired_trimmed SP_low
juvenile_rep3_gm_amb_R3AA9_paired_trimmed GM_ambient
juvenile_rep3_gm_ext_R3CA1_paired_trimmed GM_extreme_low
juvenile_rep3_gm_low_R3DA1_paired_trimmed GM_low
juvenile_rep3_sp_amb_R3EA10_paired_trimmed SP_ambient
juvenile_rep3_sp_low_R3BA6_paired_trimmed SP_low
juvenile_rep4_gm_amb_R4BA4_paired_trimmed GM_ambient
juvenile_rep4_gm_ext_R4BA15_paired_trimmed GM_extreme_low
juvenile_rep4_gm_low_R4EA1_paired_trimmed GM_low 
juvenile_rep4_sp_amb_R4AA12_paired_trimmed SP_ambient
juvenile_rep4_sp_low_R4CA7_paired_trimmed SP_low





