dir samples site experiment 
2_spatialComparison abundance_adult_june2017_gm_gm_bck_14833X1_paired_trimmed gm bck 
2_spatialComparison abundance_adult_june2017_gm_gm_bck_14833X27_paired_trimmed gm bck 
2_spatialComparison abundance_adult_june2017_gm_gm_bck_14833X31_paired_trimmed gm bck 
2_spatialComparison abundance_adult_june2017_gm_gm_tro_14833X15_paired_trimmed gm tro 
2_spatialComparison abundance_adult_june2017_gm_gm_tro_14833X2_paired_trimmed gm tro 
2_spatialComparison abundance_adult_june2017_gm_gm_tro_14833X32_paired_trimmed gm tro 
2_spatialComparison abundance_adult_june2017_gm_gm_tro_14833X3_paired_trimmed gm tro 
2_spatialComparison abundance_adult_june2017_gm_gm_tro_14833X50_paired_trimmed gm tro 
2_spatialComparison abundance_adult_june2017_pv_pv_bck_14833X20_paired_trimmed pv bck 
2_spatialComparison abundance_adult_june2017_pv_pv_bck_14833X22_paired_trimmed pv bck 
2_spatialComparison abundance_adult_june2017_pv_pv_bck_14833X6_paired_trimmed pv bck 
2_spatialComparison abundance_adult_june2017_pv_pv_tro_14833X23_paired_trimmed pv tro 
2_spatialComparison abundance_adult_june2017_pv_pv_tro_14833X35_paired_trimmed pv tro 
2_spatialComparison abundance_adult_june2017_pv_pv_tro_14833X46_paired_trimmed pv tro 
2_spatialComparison abundance_adult_june2017_pv_pv_tro_14833X51_paired_trimmed pv tro 
2_spatialComparison abundance_adult_june2017_pv_pv_tro_14833X7_paired_trimmed pv tro 
2_spatialComparison abundance_adult_june2017_sp_sp_bck_14833X10_paired_trimmed sp bck 
2_spatialComparison abundance_adult_june2017_sp_sp_bck_14833X29_paired_trimmed sp bck 
2_spatialComparison abundance_adult_june2017_sp_sp_bck_14833X38_paired_trimmed sp bck 
2_spatialComparison abundance_adult_june2017_sp_sp_tro_14833X11_paired_trimmed sp tro 
2_spatialComparison abundance_adult_june2017_sp_sp_tro_14833X24_paired_trimmed sp tro 
2_spatialComparison abundance_adult_june2017_sp_sp_tro_14833X39_paired_trimmed sp tro 
2_spatialComparison abundance_adult_june2017_sp_sp_tro_14833X40_paired_trimmed sp tro 
2_spatialComparison abundance_adult_june2017_sp_sp_tro_14833X41_paired_trimmed sp tro 
2_spatialComparison abundance_adult_nov2016_gm_gm_pre_14283X1_paired_trimmed gm bck 
2_spatialComparison abundance_adult_nov2016_gm_gm_pre_14283X2_paired_trimmed gm bck 
2_spatialComparison abundance_adult_nov2016_gm_gm_pre_14283X3_paired_trimmed gm bck 
2_spatialComparison abundance_adult_nov2016_gm_gm_pre_14283X4_paired_trimmed gm bck 
2_spatialComparison abundance_adult_nov2016_pv_pv_pre_14283X10_paired_trimmed pv bck 
2_spatialComparison abundance_adult_nov2016_pv_pv_pre_14283X8_paired_trimmed pv bck 
2_spatialComparison abundance_adult_nov2016_pv_pv_pre_14283X9_paired_trimmed pv bck  
2_spatialComparison abundance_adult_nov2016_sa_sa_pre_14283X5_paired_trimmed sa bck 
2_spatialComparison abundance_adult_nov2016_sa_sa_pre_14283X6_paired_trimmed sa bck  
2_spatialComparison abundance_adult_nov2016_sa_sa_pre_14283X7_paired_trimmed sa bck 
2_spatialComparison abundance_adult_sept2017_gm_gm_bck_14833X28_paired_trimmed gm bck 
2_spatialComparison abundance_adult_sept2017_gm_gm_bck_14833X33_paired_trimmed gm bck 
2_spatialComparison abundance_adult_sept2017_gm_gm_bck_14833X4_paired_trimmed gm bck 
2_spatialComparison abundance_adult_sept2017_gm_gm_tro_14833X21_paired_trimmed gm tro 
2_spatialComparison abundance_adult_sept2017_gm_gm_tro_14833X34_paired_trimmed gm tro 
2_spatialComparison abundance_adult_sept2017_gm_gm_tro_14833X48_paired_trimmed gm tro 
2_spatialComparison abundance_adult_sept2017_gm_gm_tro_14833X49_paired_trimmed gm tro 
2_spatialComparison abundance_adult_sept2017_gm_gm_tro_14833X5_paired_trimmed gm tro 
2_spatialComparison abundance_adult_sept2017_pv_pv_bck_14833X17_paired_trimmed pv bck 
2_spatialComparison abundance_adult_sept2017_pv_pv_bck_14833X36_paired_trimmed pv bck 
2_spatialComparison abundance_adult_sept2017_pv_pv_bck_14833X8_paired_trimmed pv bck 
2_spatialComparison abundance_adult_sept2017_pv_pv_tro_14833X18_paired_trimmed pv tro 
2_spatialComparison abundance_adult_sept2017_pv_pv_tro_14833X30_paired_trimmed pv tro 
2_spatialComparison abundance_adult_sept2017_pv_pv_tro_14833X37_paired_trimmed pv tro 
2_spatialComparison abundance_adult_sept2017_pv_pv_tro_14833X9_paired_trimmed pv tro 
2_spatialComparison abundance_adult_sept2017_sa_sa_bck_14833X19_paired_trimmed sa bck 
2_spatialComparison abundance_adult_sept2017_sa_sa_bck_14833X25_paired_trimmed sa bck 
2_spatialComparison abundance_adult_sept2017_sa_sa_bck_14833X26_paired_trimmed sa bck 
2_spatialComparison abundance_adult_sept2017_sa_sa_bck_14833X47_paired_trimmed sa bck  
2_spatialComparison abundance_adult_sept2017_sa_sa_bck_14833X52_paired_trimmed sa bck 
2_spatialComparison abundance_adult_sept2017_sp_sp_bck_14833X12_paired_trimmed sp bck 
2_spatialComparison abundance_adult_sept2017_sp_sp_bck_14833X13_paired_trimmed sp bck 
2_spatialComparison abundance_adult_sept2017_sp_sp_bck_14833X42_paired_trimmed sp bck 
2_spatialComparison abundance_adult_sept2017_sp_sp_tro_14833X14_paired_trimmed sp tro 
2_spatialComparison abundance_adult_sept2017_sp_sp_tro_14833X16_paired_trimmed sp tro 
2_spatialComparison abundance_adult_sept2017_sp_sp_tro_14833X43_paired_trimmed sp tro 
2_spatialComparison abundance_adult_sept2017_sp_sp_tro_14833X44_paired_trimmed sp tro 
2_spatialComparison abundance_adult_sept2017_sp_sp_tro_14833X45_paired_trimmed sp tro 
