dir samples originSite_finalSite_experiment
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X25_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X3_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X42_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15941X30_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15941X3_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15873X28_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15873X5_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15941X17_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15941X33_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15941X5_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15873X32_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15873X8_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X20_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X40_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X7_trimmed gm_pv_trt
