dir samples originSite_finalSite_experiment
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15873X33_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15873X9_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X21_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X22_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X41_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X8_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15873X29_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15873X6_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X18_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X34_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X6_trimmed pv_gm_trt
