dir samples originSite_finalSite_experiment
4_trueTransplant abundance_adult_may2018_gm_gm_bck_15873X22_trimmed gm_gm_bck
4_trueTransplant abundance_adult_may2018_gm_gm_bck_15873X31_trimmed gm_gm_bck
4_trueTransplant abundance_adult_may2018_gm_gm_bck_15941X16_trimmed gm_gm_bck
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15873X28_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15873X5_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15941X17_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15941X33_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_gm_gm_tro_15941X5_trimmed gm_gm_tro
4_trueTransplant abundance_adult_may2018_pv_pv_bck_15873X19_trimmed pv_pv_bck
4_trueTransplant abundance_adult_may2018_pv_pv_bck_15941X42_trimmed pv_pv_bck
4_trueTransplant abundance_adult_may2018_pv_pv_bck_15941X52_trimmed pv_pv_bck
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15873X33_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15873X9_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X21_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X22_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X41_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_pv_pv_tro_15941X8_trimmed pv_pv_tro
4_trueTransplant abundance_adult_may2018_sp_sp_bck_15873X26_trimmed sp_sp_bck
4_trueTransplant abundance_adult_may2018_sp_sp_bck_15873X43_trimmed sp_sp_bck
4_trueTransplant abundance_adult_may2018_sp_sp_bck_15941X31_trimmed sp_sp_bck
4_trueTransplant abundance_adult_may2018_sp_sp_tro_15873X24_trimmed sp_sp_tro
4_trueTransplant abundance_adult_may2018_sp_sp_tro_15873X2_trimmed sp_sp_tro
4_trueTransplant abundance_adult_may2018_sp_sp_tro_15873X41_trimmed sp_sp_tro
4_trueTransplant abundance_adult_may2018_sp_sp_tro_15941X29_trimmed sp_sp_tro
4_trueTransplant abundance_adult_may2018_sp_sp_tro_15941X2_trimmed sp_sp_tro
