dir sample condition
nov2016 abundance_adult_nov2016_gm_gm_pre_14283X1_paired_trimmed gm_gm_pre
nov2016 abundance_adult_nov2016_gm_gm_pre_14283X2_paired_trimmed gm_gm_pre
nov2016 abundance_adult_nov2016_gm_gm_pre_14283X3_paired_trimmed gm_gm_pre
nov2016 abundance_adult_nov2016_gm_gm_pre_14283X4_paired_trimmed gm_gm_pre
nov2016 abundance_adult_nov2016_pv_pv_pre_14283X10_paired_trimmed pv_pv_pre
nov2016 abundance_adult_nov2016_pv_pv_pre_14283X8_paired_trimmed pv_pv_pre
nov2016 abundance_adult_nov2016_pv_pv_pre_14283X9_paired_trimmed pv_pv_pre
nov2016 abundance_adult_nov2016_sa_sa_pre_14283X5_paired_trimmed sa_sa_pre
nov2016 abundance_adult_nov2016_sa_sa_pre_14283X6_paired_trimmed sa_sa_pre
nov2016 abundance_adult_nov2016_sa_sa_pre_14283X7_paired_trimmed sa_sa_pre
