dir samples site experiment sequence date
3_temporalComparison abundance_adult_june2017_gm_gm_bck_14833X1_paired_trimmed gm bck paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_bck_14833X27_paired_trimmed gm bck paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_bck_14833X31_paired_trimmed gm bck paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_tro_14833X15_paired_trimmed gm tro paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_tro_14833X2_paired_trimmed gm tro paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_tro_14833X32_paired_trimmed gm tro paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_tro_14833X3_paired_trimmed gm tro paired june2017
3_temporalComparison abundance_adult_june2017_gm_gm_tro_14833X50_paired_trimmed gm tro paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_bck_14833X20_paired_trimmed pv bck paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_bck_14833X22_paired_trimmed pv bck paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_bck_14833X6_paired_trimmed pv bck paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_tro_14833X23_paired_trimmed pv tro paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_tro_14833X35_paired_trimmed pv tro paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_tro_14833X46_paired_trimmed pv tro paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_tro_14833X51_paired_trimmed pv tro paired june2017
3_temporalComparison abundance_adult_june2017_pv_pv_tro_14833X7_paired_trimmed pv tro paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_bck_14833X10_paired_trimmed sp bck paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_bck_14833X29_paired_trimmed sp bck paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_bck_14833X38_paired_trimmed sp bck paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_tro_14833X11_paired_trimmed sp tro paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_tro_14833X24_paired_trimmed sp tro paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_tro_14833X39_paired_trimmed sp tro paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_tro_14833X40_paired_trimmed sp tro paired june2017
3_temporalComparison abundance_adult_june2017_sp_sp_tro_14833X41_paired_trimmed sp tro paired june2017
3_temporalComparison abundance_adult_may2018_gm_gm_bck_15873X22_trimmed gm bck single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_bck_15941X16_trimmed gm bck single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_tro_15873X28_trimmed gm tro single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_tro_15873X5_trimmed gm tro single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_tro_15941X17_trimmed gm tro single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_tro_15941X33_trimmed gm tro single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_tro_15941X5_trimmed gm tro single may2018
3_temporalComparison abundance_adult_may2018_gm_gm_bck_15873X31_trimmed gm bck single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_bck_15873X19_trimmed pv bck single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_bck_15941X42_trimmed pv bck single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_bck_15941X52_trimmed pv bck single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_tro_15873X33_trimmed pv tro single  may2018
3_temporalComparison abundance_adult_may2018_pv_pv_tro_15873X9_trimmed pv tro single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_tro_15941X21_trimmed pv tro single  may2018
3_temporalComparison abundance_adult_may2018_pv_pv_tro_15941X22_trimmed pv tro single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_tro_15941X41_trimmed pv tro single may2018
3_temporalComparison abundance_adult_may2018_pv_pv_tro_15941X8_trimmed pv tro single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_bck_15873X26_trimmed sp bck single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_bck_15873X43_trimmed sp bck single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_bck_15941X31_trimmed sp bck single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_tro_15873X24_trimmed sp tro single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_tro_15873X2_trimmed sp tro single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_tro_15873X41_trimmed sp tro single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_tro_15941X29_trimmed sp tro single may2018
3_temporalComparison abundance_adult_may2018_sp_sp_tro_15941X2_trimmed sp tro single may2018
3_temporalComparison abundance_adult_nov2016_gm_gm_pre_14283X1_paired_trimmed gm bck paired nov2016
3_temporalComparison abundance_adult_nov2016_gm_gm_pre_14283X2_paired_trimmed gm bck paired nov2016
3_temporalComparison abundance_adult_nov2016_gm_gm_pre_14283X3_paired_trimmed gm bck paired nov2016
3_temporalComparison abundance_adult_nov2016_gm_gm_pre_14283X4_paired_trimmed gm bck paired nov2016
3_temporalComparison abundance_adult_nov2016_pv_pv_pre_14283X10_paired_trimmed pv bck paired nov2016
3_temporalComparison abundance_adult_nov2016_pv_pv_pre_14283X8_paired_trimmed pv bck paired nov2016
3_temporalComparison abundance_adult_nov2016_pv_pv_pre_14283X9_paired_trimmed pv bck paired nov2016
3_temporalComparison abundance_adult_nov2016_sa_sa_pre_14283X5_paired_trimmed sa bck paired nov2016
3_temporalComparison abundance_adult_nov2016_sa_sa_pre_14283X6_paired_trimmed sa bck paired nov2016
3_temporalComparison abundance_adult_nov2016_sa_sa_pre_14283X7_paired_trimmed sa bck paired nov2016
3_temporalComparison abundance_adult_sept2017_gm_gm_bck_14833X28_paired_trimmed gm bck paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_bck_14833X33_paired_trimmed gm bck paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_bck_14833X4_paired_trimmed gm bck paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_tro_14833X21_paired_trimmed gm tro paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_tro_14833X34_paired_trimmed gm tro paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_tro_14833X48_paired_trimmed gm tro paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_tro_14833X49_paired_trimmed gm tro paired sept2017
3_temporalComparison abundance_adult_sept2017_gm_gm_tro_14833X5_paired_trimmed gm tro paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_bck_14833X17_paired_trimmed pv bck paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_bck_14833X36_paired_trimmed pv bck paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_bck_14833X8_paired_trimmed pv bck paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_tro_14833X18_paired_trimmed pv tro paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_tro_14833X30_paired_trimmed pv tro paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_tro_14833X37_paired_trimmed pv tro paired sept2017
3_temporalComparison abundance_adult_sept2017_pv_pv_tro_14833X9_paired_trimmed pv tro paired sept2017
3_temporalComparison abundance_adult_sept2017_sa_sa_bck_14833X19_paired_trimmed sa bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sa_sa_bck_14833X25_paired_trimmed sa bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sa_sa_bck_14833X26_paired_trimmed sa bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sa_sa_bck_14833X47_paired_trimmed sa bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sa_sa_bck_14833X52_paired_trimmed sa bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_bck_14833X12_paired_trimmed sp bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_bck_14833X13_paired_trimmed sp bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_bck_14833X42_paired_trimmed sp bck paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_tro_14833X14_paired_trimmed sp tro paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_tro_14833X16_paired_trimmed sp tro paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_tro_14833X43_paired_trimmed sp tro paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_tro_14833X44_paired_trimmed sp tro paired sept2017
3_temporalComparison abundance_adult_sept2017_sp_sp_tro_14833X45_paired_trimmed sp tro paired sept2017
3_temporalComparison abundance_adult_sept2018_gm_gm_bck_15941X28_trimmed gm bck single sept2018
3_temporalComparison abundance_adult_sept2018_gm_gm_bck_15941X46_trimmed gm bck single sept2018
3_temporalComparison abundance_adult_sept2018_gm_gm_bck_15941X54_trimmed gm bck single sept2018
3_temporalComparison abundance_adult_sept2018_pv_pv_bck_15873X21_trimmed pv bck single sept2018
3_temporalComparison abundance_adult_sept2018_pv_pv_bck_15941X47_trimmed pv bck single sept2018
3_temporalComparison abundance_adult_sept2018_pv_pv_bck_15941X55_trimmed pv bck single sept2018
3_temporalComparison abundance_adult_sept2018_sp_sp_bck_15873X20_trimmed sp bck single sept2018
3_temporalComparison abundance_adult_sept2018_sp_sp_bck_15941X48_trimmed sp bck single sept2018
3_temporalComparison abundance_adult_sept2018_sp_sp_bck_15941X53_trimmed sp bck single sept2018
