dir sample originSite finalSite
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15873X32_trimmed gm pv
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15873X8_trimmed gm pv
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X20_trimmed gm pv
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X40_trimmed gm pv
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X7_trimmed gm pv
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X25_trimmed gm sp
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X3_trimmed gm sp
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X42_trimmed gm sp
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15941X30_trimmed gm sp
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15941X3_trimmed pv gm 
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15873X29_trimmed pv gm 
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15873X6_trimmed pv gm
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X18_trimmed pv gm
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X34_trimmed pv gm
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X6_trimmed pv gm
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15873X27_trimmed sp gm
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15873X4_trimmed sp gm
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15941X32_trimmed sp gm
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15941X4_trimmed sp gm
