genes,pfam_annotation,pfam_code
STRG.26188,1-cysPrx_C,PF10417
STRG.8355,1-cysPrx_C,PF10417
STRG.23285,1-cysPrx_C,PF10417
STRG.21056,14-3-3,PF00244
STRG.41137,14-3-3,PF00244
STRG.25067,14-3-3,PF00244
STRG.25069,14-3-3,PF00244
STRG.21054,14-3-3,PF00244
STRG.10629,14-3-3,PF00244
STRG.10628,14-3-3,PF00244
STRG.41137.3,14-3-3,PF00244
STRG.41137.2,14-3-3,PF00244
STRG.40059,2-Hacid_dh,PF00389
STRG.6163,2-Hacid_dh,PF00389
STRG.33568,2-Hacid_dh,PF00389
STRG.10514,2-Hacid_dh,PF00389
STRG.27722,2-Hacid_dh,PF00389
STRG.39391,2-Hacid_dh,PF00389
STRG.25989,2-Hacid_dh_C,PF02826
STRG.6647,2-Hacid_dh_C,PF02826
STRG.28432,2-Hacid_dh_C,PF02826
STRG.36772,2-Hacid_dh_C,PF02826
STRG.4743,2-Hacid_dh_C,PF02826
STRG.9202,2-Hacid_dh_C,PF02826
STRG.9763,2-oxoacid_dh,PF00198
STRG.22121,2-oxoacid_dh,PF00198
STRG.4318,2-oxoacid_dh,PF00198
STRG.15825,2-oxoacid_dh,PF00198
STRG.15355,2-oxoacid_dh,PF00198
STRG.37158,2-oxogl_dehyd_N,PF16078
STRG.22143,2Fe-2S_thioredx,PF01257
STRG.34334,2OG-FeII_Oxy,PF03171
STRG.35481,2OG-FeII_Oxy,PF03171
STRG.35488,2OG-FeII_Oxy,PF03171
STRG.25315,2OG-FeII_Oxy,PF03171
STRG.33684,2OG-FeII_Oxy,PF03171
STRG.35466,2OG-FeII_Oxy,PF03171
STRG.35465,2OG-FeII_Oxy,PF03171
STRG.41694,2OG-FeII_Oxy,PF03171
STRG.14098,2OG-FeII_Oxy,PF03171
STRG.35467,2OG-FeII_Oxy,PF03171
STRG.42703,2OG-FeII_Oxy,PF03171
STRG.11739,2OG-FeII_Oxy,PF03171
STRG.27409,2OG-FeII_Oxy,PF03171
STRG.3923,2OG-FeII_Oxy,PF03171
STRG.5665,2OG-FeII_Oxy,PF03171
STRG.35916,2OG-FeII_Oxy,PF03171
STRG.10977,2OG-FeII_Oxy,PF03171
STRG.13247,2OG-FeII_Oxy,PF03171
STRG.35917,2OG-FeII_Oxy,PF03171
STRG.28388,2OG-FeII_Oxy,PF03171
STRG.30132.1,2OG-FeII_Oxy,PF03171
STRG.7270.2,2OG-FeII_Oxy,PF03171
STRG.2438,2OG-FeII_Oxy,PF03171
STRG.10483,2OG-FeII_Oxy,PF03171
STRG.24939,2OG-FeII_Oxy,PF03171
STRG.7270,2OG-FeII_Oxy,PF03171
STRG.25089,2OG-FeII_Oxy_2,PF13532
STRG.16551.1,2OG-FeII_Oxy_2,PF13532
STRG.25265,2OG-FeII_Oxy_2,PF13532
STRG.25219.2,2OG-FeII_Oxy_2,PF13532
STRG.25219.3,2OG-FeII_Oxy_2,PF13532
STRG.25219.1,2OG-FeII_Oxy_2,PF13532
STRG.18918,2OG-FeII_Oxy_2,PF13532
STRG.18917,2OG-FeII_Oxy_2,PF13532
STRG.10938,2OG-FeII_Oxy_2,PF13532
STRG.41952,2OG-FeII_Oxy_3,PF13640
STRG.3819,2OG-FeII_Oxy_3,PF13640
STRG.41032,2OG-FeII_Oxy_3,PF13640
STRG.8325,2OG-FeII_Oxy_3,PF13640
STRG.29282,2OG-FeII_Oxy_3,PF13640
STRG.1827,2OG-FeII_Oxy_3,PF13640
STRG.8322,2OG-FeII_Oxy_3,PF13640
STRG.34525.3,2OG-FeII_Oxy_3,PF13640
STRG.7964,2OG-FeII_Oxy_3,PF13640
STRG.29283,2OG-FeII_Oxy_3,PF13640
STRG.36477,2OG-FeII_Oxy_3,PF13640
STRG.36443,2OG-FeII_Oxy_3,PF13640
STRG.34525,2OG-FeII_Oxy_3,PF13640
STRG.22524,2OG-FeII_Oxy_3,PF13640
STRG.5785,2OG-FeII_Oxy_3,PF13640
STRG.8321,2OG-FeII_Oxy_3,PF13640
STRG.34516,2OG-FeII_Oxy_3,PF13640
STRG.30164,2OG-FeII_Oxy_3,PF13640
STRG.6744,2OG-FeII_Oxy_3,PF13640
STRG.34511,2OG-FeII_Oxy_3,PF13640
STRG.1820,2OG-FeII_Oxy_3,PF13640
STRG.21425,2OG-FeII_Oxy_3,PF13640
STRG.37209,2OG-FeII_Oxy_3,PF13640
STRG.1840,2OG-FeII_Oxy_3,PF13640
STRG.1842,2OG-FeII_Oxy_3,PF13640
STRG.37214,2OG-FeII_Oxy_3,PF13640
STRG.3819.1,2OG-FeII_Oxy_3,PF13640
STRG.1838,2OG-FeII_Oxy_3,PF13640
STRG.8324,2OG-FeII_Oxy_3,PF13640
