genes,pfam_annotation,pfam_code
STRG.22717.1.p1     ,Bact_lectin,PF18483
STRG.16698.1.p1     ,Carb_anhydrase,PF00194
STRG.13175.1.p1     ,Carb_anhydrase,PF00194
STRG.13175.3.p1     ,Carb_anhydrase,PF00194
STRG.13175.4.p1     ,Carb_anhydrase,PF00194
STRG.13175.5.p1     ,Carb_anhydrase,PF00194
STRG.13175.6.p1     ,Carb_anhydrase,PF00194
STRG.14271.1.p1     ,Carb_anhydrase,PF00194
STRG.14271.2.p1     ,Carb_anhydrase,PF00194
STRG.40389.1.p1     ,Carb_anhydrase,PF00194
STRG.40389.2.p1     ,Carb_anhydrase,PF00194
STRG.40389.3.p1     ,Carb_anhydrase,PF00194
STRG.13174.1.p1     ,Carb_anhydrase,PF00194
STRG.13174.2.p1     ,Carb_anhydrase,PF00194
STRG.13184.1.p1     ,Carb_anhydrase,PF00194
STRG.36428.1.p1     ,Carb_anhydrase,PF00194
STRG.36427.2.p1     ,Carb_anhydrase,PF00194
STRG.470.2.p1       ,Carb_anhydrase,PF00194
STRG.470.1.p1       ,Carb_anhydrase,PF00194
STRG.7674.1.p1      ,Carb_anhydrase,PF00194
STRG.34997.1.p1     ,Carb_anhydrase,PF00194
STRG.14728.2.p1     ,Carb_anhydrase,PF00194
STRG.34997.2.p1     ,Carb_anhydrase,PF00194
STRG.40377.1.p1     ,Carb_anhydrase,PF00194
STRG.37944.1.p2     ,Carb_anhydrase,PF00194
STRG.37944.2.p2     ,Carb_anhydrase,PF00194
STRG.36089.1.p2     ,Carb_anhydrase,PF00194
STRG.22633.1.p1     ,Carb_anhydrase,PF00194
STRG.14728.1.p1     ,Carb_anhydrase,PF00194
STRG.36427.3.p1     ,Carb_anhydrase,PF00194
STRG.11250.1.p1     ,Carb_anhydrase,PF00194
STRG.13180.1.p1     ,Carb_anhydrase,PF00194
STRG.3038.1.p1      ,Carb_anhydrase,PF00194
STRG.37573.6.p1     ,Carb_anhydrase,PF00194
STRG.37573.8.p1     ,Carb_anhydrase,PF00194
STRG.37573.7.p1     ,Carb_anhydrase,PF00194
STRG.14728.4.p1     ,Carb_anhydrase,PF00194
STRG.37573.1.p1     ,Carb_anhydrase,PF00194
STRG.37573.3.p1     ,Carb_anhydrase,PF00194
STRG.37573.4.p1     ,Carb_anhydrase,PF00194
STRG.37573.5.p1     ,Carb_anhydrase,PF00194
STRG.37573.2.p1     ,Carb_anhydrase,PF00194
STRG.35059.1.p1     ,Carb_anhydrase,PF00194
STRG.32233.1.p1     ,Carb_anhydrase,PF00194
STRG.424.1.p1       ,Carb_anhydrase,PF00194
STRG.424.2.p1       ,Carb_anhydrase,PF00194
STRG.43478.1.p1     ,Carb_anhydrase,PF00194
STRG.36089.2.p2     ,Carb_anhydrase,PF00194
STRG.33230.1.p1     ,Focadhesin,PF11229
STRG.7978.4.p1      ,HCO3_cotransp,PF00955
STRG.7978.2.p1      ,HCO3_cotransp,PF00955
STRG.7978.3.p1      ,HCO3_cotransp,PF00955
STRG.7978.1.p1      ,HCO3_cotransp,PF00955
STRG.9275.1.p1      ,HCO3_cotransp,PF00955
STRG.38598.2.p1     ,HCO3_cotransp,PF00955
STRG.38598.1.p1     ,HCO3_cotransp,PF00955
STRG.39705.1.p1     ,HCO3_cotransp,PF00955
STRG.15785.1.p1     ,HCO3_cotransp,PF00955
STRG.39705.2.p1     ,HCO3_cotransp,PF00955
STRG.9275.2.p2      ,HCO3_cotransp,PF00955
STRG.9275.2.p1      ,HCO3_cotransp,PF00955
STRG.9275.3.p1      ,HCO3_cotransp,PF00955
STRG.14945.1.p1     ,H_lectin,PF09458
STRG.29253.1.p1     ,H_lectin,PF09458
STRG.14953.1.p1     ,H_lectin,PF09458
STRG.14950.1.p1     ,H_lectin,PF09458
STRG.2761.1.p1      ,H_lectin,PF09458
STRG.29262.1.p1     ,H_lectin,PF09458
STRG.26965.1.p1     ,H_lectin,PF09458
STRG.17831.1.p1     ,H_lectin,PF09458
STRG.25259.1.p1     ,H_lectin,PF09458
STRG.23604.1.p1     ,H_lectin,PF09458
STRG.14953.2.p1     ,H_lectin,PF09458
STRG.10480.1.p1     ,Malectin,PF11721
STRG.10480.2.p1     ,Malectin,PF11721
STRG.24486.1.p1     ,RicinB_lectin_2,PF14200
STRG.38995.1.p1     ,Ricin_B_lectin,PF00652
STRG.38995.2.p1     ,Ricin_B_lectin,PF00652
STRG.5132.1.p1      ,Ricin_B_lectin,PF00652
STRG.5132.2.p1      ,Ricin_B_lectin,PF00652
STRG.21246.1.p1     ,Ricin_B_lectin,PF00652
STRG.13645.1.p1     ,Ricin_B_lectin,PF00652
STRG.44150.1.p1     ,Ricin_B_lectin,PF00652
STRG.39647.1.p1     ,Ricin_B_lectin,PF00652
STRG.30579.3.p1     ,Ricin_B_lectin,PF00652
STRG.30579.1.p1     ,Ricin_B_lectin,PF00652
STRG.11374.2.p1     ,Ricin_B_lectin,PF00652
STRG.11374.1.p1     ,Ricin_B_lectin,PF00652
STRG.30579.4.p1     ,Ricin_B_lectin,PF00652
STRG.30579.2.p1     ,Ricin_B_lectin,PF00652
STRG.23726.1.p1     ,Ricin_B_lectin,PF00652
STRG.5585.1.p1      ,Ricin_B_lectin,PF00652
STRG.28182.1.p1     ,Ricin_B_lectin,PF00652
STRG.2570.1.p1      ,S10_plectin,PF03501
STRG.2105.2.p1      ,Tachylectin,PF14517
STRG.2105.3.p1      ,Tachylectin,PF14517
STRG.2105.4.p1      ,Tachylectin,PF14517
STRG.35926.1.p1     ,Tachylectin,PF14517
STRG.35926.2.p1     ,Tachylectin,PF14517
STRG.34797.2.p1     ,V_ATPase_I,PF01496
STRG.34797.1.p1     ,V_ATPase_I,PF01496
